cycle_id,avg_feed_per_day,avg_growth_feed
3458,89.97,0.38
3459,90.19,0.03
4036,12.63,0.3
4038,18.64,0.1
4039,9.02,0.05
4044,60.36,0.14
4045,60.4,0.15
4046,53.35,0.17
4047,60.75,0.16
4048,68.62,0.17
4181,12.49,0.01
4233,46.64,0.63
4238,14.62,0.09
4239,31.78,0.45
4241,27.6,0.38
4253,11.5,1.17
4254,31.42,1.67
4309,38.64,0.78
4313,16.81,0.23
4349,16.33,0.49
4442,26.7,0.47
4444,2.89,0.09
4446,23.3,0.45
4489,10.61,0.32
4491,10.69,0.53
4514,9.34,0.04
4515,13.68,0.11
4551,9.77,0.37
4552,0.88,0.04
4620,6.74,0.03
4621,4.8,0.02
4622,4.03,0.01
4666,6.31,0.18
4750,2.55,0.0
4751,2.54,0.01
4803,6.1,0.29
4887,12.82,0.43
4896,8.0,0.17
4938,7.67,0.3
4946,22.82,0.67
4957,1.1,0.0
5044,7.09,0.14
5045,6.17,2.64
5046,4.08,-0.03
5159,9.79,0.71
5222,49.09,0.24
5223,78.59,0.63
5253,6.86,0.02
5258,4.33,0.01
5435,43.44,1.24
5437,60.87,0.19
5438,70.2,1.63
5439,37.73,0.64
5441,68.15,1.64
5442,65.18,0.81
5487,14.73,0.03
5677,25.61,0.11
5731,17.67,0.39
5902,15.94,0.12
5903,15.21,0.13
5918,20.81,0.14
5919,14.28,0.11
5920,15.77,0.04
5921,16.31,0.04
6126,13.68,0.17
6319,18.12,0.18
6431,24.69,0.98
6498,28.61,0.11
6627,25.09,0.22
6628,29.24,0.74
6952,9.05,0.26
7020,5.13,0.02
7127,15.13,0.18
7130,33.22,0.68
7156,40.41,0.53
7157,35.4,0.2
7273,6.8,0.11
7276,6.8,0.11
7277,6.8,0.11
7289,6.8,0.11
7293,6.8,0.11
7303,6.8,0.11
7394,9.24,0.43
7605,12.6,0.0
7606,12.01,0.01
7615,56.62,0.73
7616,60.65,0.44
7617,46.94,0.41
7622,24.78,0.19
7876,42.71,0.34
7897,12.23,0.19
7991,32.06,0.22
7992,41.25,0.27
7993,40.53,0.26
7995,1.36,0.01
7996,1.35,0.01
7997,3.58,0.04
7998,2.56,0.02
7999,4.3,0.02
8000,31.22,0.2
8004,72.72,0.43
