cycle_id,pond_id,species_id,total_seed,started_at,finished_at,remark,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,total_seed_type,pond_name,pond_size,padat_tebar,regency,count_feed_tray,total_feed,avg_feed_per_day,avg_growth_feed,size_harvest,weight_harvest,total_harvested,harvested_at,selling_price,survival_rate
3458,12969,,566669,2020-03-07,2020-06-27,,4968.0,0,1.25,120,45,,B1,4811.01,2726248129.01,,,9987.0,89.97,0.38,255.0,7382.93,444548.0,2020-06-27,,78.45
3459,12996,,566669,2020-03-07,2020-07-06,,4968.0,0,1.25,121,45,,B2,4636.22,2627202944.52,,,10913.0,90.19,0.03,256.0,7454.04,440388.0,2020-07-06,,77.72
4036,12685,,172250,2020-04-11,2020-05-20,,800.0,0,1.25,120,45,,P1,726.8,125191300.0,,,480.1,12.63,0.3,700.0,441.0,154350.0,2020-05-20,,89.61
4038,14334,,350000,2020-04-12,2020-07-15,,2700.0,0,1.25,120,45,,A1,2700.0,945000000.0,,,7790.6,18.64,0.1,,,,,,
4039,14335,,210000,2020-04-12,2020-07-15,,1030.0,0,1.25,120,45,,A2,1029.9,216278454.0,,,3770.5,9.02,0.05,,,,,,
4044,14348,,215858,2020-04-15,2020-08-12,,1250.0,0,1.25,120,45,,A2,1249.91,269802727.41,,,7182.5,60.36,0.14,496.0,3544.08,187493.0,2020-08-12,,86.86
4045,14349,,227526,2020-04-15,2020-08-12,,1310.0,0,1.25,120,45,,A3,1309.7,297990483.66,,,7187.5,60.4,0.15,638.0,3781.38,200709.0,2020-08-12,,88.21
4046,14350,,180854,2020-04-15,2020-08-08,,1040.0,0,1.25,120,45,,A4,1040.11,188108632.67,,,6135.5,53.35,0.17,255.0,3132.12,159488.0,2020-08-08,,88.19
4047,14351,,233360,2020-04-15,2020-08-01,,1340.0,0,1.25,120,45,,A5,1339.96,312692832.24,,,6561.0,60.75,0.16,437.0,3868.88,217574.0,2020-08-01,,93.24
4048,14352,,265447,2020-04-15,2020-08-12,,1540.0,0,1.25,120,45,,A6,1540.09,408811447.34,,,8166.0,68.62,0.17,667.0,4364.21,234405.0,2020-08-12,,88.31
4181,9603,1,100000,2020-05-02,2020-06-23,,389.0,0,1.2,70,45,,Kramat,403.88,40388100.0,,,611.98,12.49,0.01,436.0,495.0,83582.0,2020-06-23,,83.58
4233,13223,,400000,2020-04-29,2020-06-27,,1000.0,0,1.25,120,45,,petak 3,1224.83,489930840.0,,,2705.0,46.64,0.63,410.0,1200.0,255000.0,2020-06-27,,63.75
4238,13225,,223488,2020-04-25,2020-08-08,,2679.0,0,1.25,120,45,,Kolam Bundar A1,314.06,70188864.77,,,1520.0,14.62,0.09,33.0,509.73,16821.0,2020-08-08,,7.53
4239,13226,,223488,2020-04-25,2020-08-08,,2384.0,0,1.25,120,45,,Kolam Bundar A2,314.06,70188864.77,,,3305.0,31.78,0.45,41.0,1433.03,58754.0,2020-08-08,,26.29
4241,13228,,213316,2020-04-25,2020-08-08,,3094.0,0,1.25,120,45,,Kolam Bundar A4,314.06,66994236.28,,,2870.0,27.6,0.38,37.0,1147.79,42468.0,2020-08-08,,19.91
4253,12886,,168750,2020-05-02,2020-06-02,,16000.0,0,1.25,120,45,,Mibama 1 lm,1000.01,168751501.88,,,345.0,11.5,1.17,330.0,400.0,132000.0,2020-06-02,,78.22
4254,14706,,300000,2020-05-02,2020-06-01,,1000.0,0,1.25,120,45,,Kolam Baru,,,,,597.0,31.42,1.67,500.0,603.0,301500.0,2020-06-01,,100.5
4309,12686,,170000,2020-05-05,2020-07-28,,600.0,0,1.25,120,45,,Palem 1,599.82,101969196.0,,,3207.3,38.64,0.78,152.0,2270.0,128450.0,2020-07-28,,75.56
4313,12228,,310536,2020-05-05,2020-06-07,,4800.0,0,1.25,120,45,,A1,4800.0,1490572800.0,,,538.0,16.81,0.23,,,,,,
4349,13222,,80000,2020-05-10,2020-07-03,,1000.0,0,1.25,120,45,,Terpal,400.0,32000000.0,,,816.5,16.33,0.49,200.0,560.0,112000.0,2020-07-03,,140.0
4442,15091,,98544,2020-04-04,2020-07-12,,2500.0,0,1.25,100,60,,10,2000.0,197088000.0,,,2456.6,26.7,0.47,57.0,1445.0,82365.0,2020-07-12,,83.58
4444,11549,,30000,2020-05-07,2020-06-16,,2000.0,0,1.25,80,60,,Aziz 2,2000.02,60000516.0,,,115.5,2.89,0.09,,,,,,
4446,11712,,100000,2020-04-04,2020-07-16,,2000.0,0,1.25,120,60,,10,2000.02,200001720.0,,,2236.7,23.3,0.45,68.0,1118.5,76058.0,2020-07-16,,76.06
4489,12221,1,90000,2020-05-20,2020-06-26,,625.0,1,1.2,120,45,,terpal C1,1499.91,134991792.0,,,392.5,10.61,0.32,300.0,200.0,60000.0,2020-06-26,,66.67
4491,12224,1,90000,2020-05-20,2020-06-24,,625.0,1,1.2,120,45,,terpal A4,600.0,54000000.0,,,363.4,10.69,0.53,400.0,130.0,52000.0,2020-06-24,,57.78
4514,12222,,108000,2020-05-29,2020-07-20,,625.0,1,1.25,120,45,,terpal C2,644.01,69553512.0,,,467.0,9.34,0.04,364.0,600.0,107000.0,2020-07-20,,99.07
4515,14370,,180000,2020-05-29,2020-07-18,,1000.0,1,1.25,120,45,,Terpal 5,1323.0,238140000.0,,,683.9,13.68,0.11,400.0,765.0,153000.0,2020-07-18,,85.0
4551,12685,1,115200,2020-05-29,2020-07-12,,800.0,0,1.2,120,45,,P1,726.8,83727360.0,,,420.0,9.77,0.37,214.0,305.0,65270.0,2020-07-12,,56.66
4552,12945,1,12000,2020-05-29,2020-07-05,,1000.0,0,1.2,120,45,,P2,24.0,288000.0,,,32.62,0.88,0.04,400.0,32.0,12800.0,2020-07-05,,106.67
4620,15310,,175000,2020-06-10,2020-09-01,,1500.0,0,1.25,120,45,,A2,1499.91,262484040.0,,,1841.0,6.74,0.03,55.0,1200.0,66000.0,2020-08-16,,37.71
4621,15311,,175000,2020-06-10,2020-08-13,,1500.0,0,1.25,120,45,,A3,1499.91,262484040.0,,,907.0,4.8,0.02,74.0,800.0,59200.0,2020-08-13,,33.83
4622,15339,,175000,2020-06-10,2020-08-13,,422500.0,0,1.25,120,45,,A1,422500.0,73937500000.0,,,717.0,4.03,0.01,,,,,,
4666,15345,,65550,2020-07-06,2020-08-31,,1800.0,0,1.25,120,45,,U5,768.0,50342400.0,,,315.5,6.31,0.18,,,,,,
4750,15563,,43200,2020-06-21,2020-09-20,,400.0,0,1.25,91,50,,A,400.0,17280000.0,,,908.0,2.55,0.0,143.0,660.2,45143.0,2020-09-20,,104.5
4751,15564,,43200,2020-06-21,2020-09-20,,400.0,0,1.25,91,50,,B,400.0,17280000.0,,,916.0,2.54,0.01,138.0,664.8,47743.0,2020-09-20,,110.52
4803,12886,,168750,2020-06-25,2020-07-27,,1600.0,0,1.25,120,45,,Mibama 1 lm,1000.01,168751501.88,,,177.0,6.1,0.29,1000.0,86.0,86000.0,2020-07-27,,50.96
4887,12688,,62000,2020-06-28,2020-09-03,,245.0,0,1.25,120,45,,Merdeka,216.0,13392000.0,,,858.9,12.82,0.43,90.0,850.0,76500.0,2020-09-03,,123.39
4896,12737,,70000,2020-06-25,2020-08-07,,700.0,0,1.25,120,45,,Pulau santen,700.0,49000000.0,,,327.95,8.0,0.17,212.0,266.0,56392.0,2020-08-07,,80.56
4938,9603,1,75000,2020-07-05,2020-08-28,,404.0,0,1.2,120,45,,Kramat,403.88,30291075.0,,,383.32,7.67,0.3,160.0,334.0,53440.0,2020-08-28,16700000.0,71.25
4946,12751,,200000,2020-07-20,2020-09-17,,4300.0,0,1.25,120,45,,A2,4300.14,860027760.0,,,1551.8,22.82,0.67,93.0,1261.0,117273.0,2020-09-17,,58.64
4957,12945,,15000,2020-07-07,2020-08-16,,1000.0,0,1.25,120,45,,P2,24.0,360000.0,,,43.87,1.1,0.0,350.0,32.0,11200.0,2020-08-16,,74.67
5044,15347,,99750,2020-07-06,2020-08-26,,1100.0,0,1.25,120,45,,U3,1099.98,109722606.0,,,361.5,7.09,0.14,,,,,,
5045,15999,,85500,2020-07-06,2020-08-27,,1000.0,0,1.25,120,45,,U1,986.0,84303000.0,,,265.5,6.17,2.64,,,,,,
5046,16000,,66600,2020-07-08,2020-08-24,,1000.0,0,1.25,120,45,,U6,739.2,49230720.0,,,163.0,4.08,-0.03,,,,,,
5159,12224,1,120000,2020-07-21,2020-08-26,,625.0,1,1.2,120,45,,terpal A4,600.0,72000000.0,,,342.5,9.79,0.71,250.0,456.0,114000.0,2020-08-26,,95.0
5222,16224,,251376,2020-08-01,2020-12-16,"P.L.  datang dengan keadaan molting dan loyo, setelah di akklimatisasi dan di tambain air kolam mulai bagus dan aktif",1600.0,1,2.0,138,45,,No.2,1600.0,402201600.0,,,6578.0,49.09,0.24,261.0,3724.57,166915.0,2020-12-14,289022185.93,66.4
5223,13378,,372000,2020-08-01,2020-12-19,P.L. Aktif,2400.0,1,2.0,140,45,,No.3,2400.0,892800000.0,,,10531.0,78.59,0.63,394.0,5951.82,266957.0,2020-12-14,459933540.22,71.76
5253,14341,,124800,2020-07-26,2020-10-31,,1323.0,0,1.25,120,45,,A8,1323.0,165110400.0,,,2943.0,6.86,0.02,,,,,,
5258,14336,,78000,2020-07-26,2020-10-29,,588.0,0,1.25,120,45,,A3,588.0,45864000.0,,,1879.89,4.33,0.01,,,,,,
5435,16048,,351750,2020-08-11,2020-10-07,,1385.0,0,1.25,120,45,,C1,1384.92,487146700.42,,,2388.95,43.44,1.24,246.0,1241.74,143318.0,2020-10-07,70195878.0,40.74
5437,16050,1,393750,2020-08-12,2020-10-06,,1938.0,1,2.5,120,120,,C3,1937.64,762945592.5,,,3348.0,60.87,0.19,223.0,1538.76,165105.0,2020-10-06,89476021.0,41.93
5438,16051,1,420000,2020-08-11,2020-10-06,,2095.0,1,2.5,57,120,,C4,2094.97,879889080.0,,,4212.0,70.2,1.63,251.0,2640.76,296102.0,2020-10-06,148054122.0,70.5
5439,16052,1,221250,2020-08-11,2020-10-06,,1096.0,1,2.5,120,120,,D1,1096.05,242501969.63,,,2264.0,37.73,0.64,208.0,1669.42,155198.0,2020-10-06,103391534.0,70.15
5441,16054,1,442500,2020-08-11,2020-10-05,,2199.0,1,2.5,120,120,,D3,2199.03,973071438.75,,,3680.0,68.15,1.64,236.0,2177.63,247501.0,2020-10-05,124388912.0,55.93
5442,16055,1,392000,2020-08-11,2020-10-06,,1960.0,1,2.5,120,120,,D4,1959.94,768296793.6,,,3911.0,65.18,0.81,229.0,3047.41,305399.0,2020-10-06,181249740.0,77.91
5487,14334,,338000,2020-08-05,2020-11-02,,2700.0,0,1.25,120,45,,A1,2700.0,912600000.0,,,5949.9,14.73,0.03,,,,,,
5677,12686,,150000,2020-08-28,2020-11-17,,600.0,0,1.25,120,45,,Palem 1,599.82,89972820.0,,,2100.0,25.61,0.11,114.0,1513.0,78033.0,2020-11-17,,52.02
5731,16777,,100000,2020-08-28,2020-11-17,,1000.0,0,1.25,81,60,,Andi Sultan,559.99,55999170.0,,,1360.8,17.67,0.39,194.0,915.0,79625.0,2020-11-17,,79.63
5902,17014,,70170,2020-10-05,2021-02-03,,800.0,0,1.25,121,45,,Ali1,799.84,56125011.38,,,1912.9,15.94,0.12,265.0,1341.06,59785.0,2021-02-03,99975802.0,85.2
5903,17015,,70170,2020-10-05,2021-02-03,,800.0,0,1.25,121,45,,Ali2,799.84,56125011.38,,,1824.9,15.21,0.13,248.0,1457.7,58034.0,2021-02-03,112853062.0,82.7
5918,17028,,77000,2020-10-19,2021-02-23,,800.0,0,1.25,127,45,,Fahri1,799.84,61587941.8,,,2622.5,20.81,0.14,277.0,1907.34,74744.0,2021-02-23,155310717.0,97.07
5919,17029,,77000,2020-10-19,2021-02-23,,800.0,0,1.25,127,45,,Fahri2,799.84,61587941.8,,,1799.6,14.28,0.11,140.0,1075.96,33175.0,2021-02-23,94063477.0,43.08
5920,17030,,76800,2020-10-07,2021-01-23,,800.0,0,1.25,144,45,,Lilik1,799.84,61427973.12,,,1687.0,15.77,0.04,194.0,900.0,43484.0,2021-01-23,67383414.0,56.62
5921,17031,,76800,2020-10-07,2021-01-23,,800.0,0,1.25,120,45,,Lilik2,799.84,61427973.12,,,1745.2,16.31,0.04,194.0,1077.7,50380.0,2021-01-23,82229457.0,65.6
6126,11,1,200000,2020-10-02,2021-01-21,,973.0,1,1.25,120,45,,Kolam T3,972.9,194580000.0,,,1518.05,13.68,0.17,,,,,,
6319,1,1,122000,2020-10-18,2021-01-21,,1064.0,1,1.25,120,45,,Kolam B1,1064.18,129829655.0,,,1721.5,18.12,0.18,302.0,1308.61,68522.0,2021-01-21,,56.17
6431,17979,,180000,2020-09-16,2020-11-08,,1000.0,0,1.25,120,45,,Kolam Alba C,,,,,1308.6,24.69,0.98,365.0,350.0,64500.0,2020-11-08,,35.83
6498,13223,,300000,2020-10-22,2020-12-22,,1225.0,0,1.25,120,45,,petak 3,1224.83,367448130.0,,,1573.5,28.61,0.11,,,,,,
6627,16476,1,200000,2020-11-06,2020-12-25,,810.0,0,1.2,120,45,,Terpal B1,810.0,162000000.0,,,1229.5,25.09,0.22,,,,,,
6628,16472,1,200000,2020-11-06,2020-12-31,,810.0,0,1.2,120,45,,Terpal B2,810.0,161999800.0,,,1549.5,29.24,0.74,456.0,1138.0,185010.0,2020-12-31,,92.51
6952,12688,,60000,2020-11-26,2021-01-31,,216.0,0,1.25,120,45,,Merdeka,216.0,12960000.0,,,543.22,9.05,0.26,120.0,600.0,72000.0,2021-01-31,,120.0
7020,12824,1,90000,2020-11-28,2021-01-15,,310.0,,,,,,Kolam Alba B,310.03,27902925.0,,,235.9,5.13,0.02,,,,,,
7127,16716,,130000,2020-12-11,2021-02-07,,735.0,0,1.25,58,45,net,A1 PS,850.17,110521775.0,,,786.9,15.13,0.18,250.0,700.0,175000.0,2021-02-07,,134.62
7130,12686,,185000,2020-12-11,2021-02-01,,600.0,0,1.25,120,45,,Palem 1,599.82,110966478.0,,,1694.0,33.22,0.68,393.0,1769.0,216600.0,2021-02-01,,117.08
7156,12221,1,400000,2020-12-04,2021-01-21,,650.0,0,1.2,120,45,,terpal C1,1499.91,599963520.0,,,1778.0,40.41,0.53,,,,,,
7157,12222,1,400000,2020-12-04,2021-01-22,,644.0,0,1.2,120,45,,terpal C2,644.01,257605600.0,,,1593.0,35.4,0.2,,,,,,
7273,19168,1,75000,2020-12-23,2021-03-27,,300.0,0,1.2,120,45,,1,300.0,22500000.0,,,700.0,6.8,0.11,140.0,611.89,44859.0,2021-03-27,37278708.0,59.81
7276,19171,1,75000,2020-12-23,2021-03-27,,300.0,0,1.2,120,45,,6,300.0,22500000.0,,,700.0,6.8,0.11,128.0,640.9,41410.0,2021-03-27,41085990.0,55.21
7277,19172,1,75000,2020-12-23,2021-03-17,,300.0,0,1.2,120,45,,5,300.0,22500000.0,,,700.0,6.8,0.11,121.0,558.5,32433.0,2021-03-17,36759200.0,43.24
7289,19190,,75000,2020-12-23,2021-03-17,,200.0,0,1.25,120,45,,8,300.0,22500000.0,,,700.0,6.8,0.11,131.0,432.0,28989.0,2021-03-17,26816400.0,38.65
7293,19198,,75000,2020-12-23,2021-03-17,,200.0,0,1.25,120,45,,13,300.0,22500000.0,,,700.0,6.8,0.11,120.0,799.5,45295.0,2021-03-17,51970500.0,60.39
7303,19206,,75000,2020-12-23,2021-03-17,,300.0,0,1.25,120,45,,19,300.0,22500000.0,,,700.0,6.8,0.11,132.0,662.0,38622.0,2021-03-17,42697400.0,51.5
7394,16777,1,100000,2020-12-29,2021-02-07,,560.0,0,1.2,120,45,,Andi Sultan,559.99,55999170.0,,,323.35,9.24,0.43,,,,,,
7605,19580,1,524394,2021-02-20,2021-06-19,,1000.0,1,1.25,120,45,,Kolam A8,2500.14,1311059463.95,,,7154.86,12.6,0.0,780.0,2463.24,247091.0,2021-06-19,131897467.66,47.12
7606,19582,1,756750,2021-02-23,2021-06-10,,1000.0,1,1.25,120,45,,Kolam B2,2500.14,1891982458.5,,,6247.6,12.01,0.01,126.0,2134.51,134474.0,2021-06-10,139478535.4,17.77
7615,19188,1,374040,2021-02-03,2021-04-20,,3117.0,1,1.25,124,45,net,B3,3117.12,1165929247.98,,,4133.0,56.62,0.73,,,,,,
7616,19189,1,401280,2021-02-03,2021-04-21,,3344.0,1,1.25,124,45,net,B4,3343.84,1341816757.25,,,4548.8,60.65,0.44,,,,,,
7617,19187,1,424080,2021-02-03,2021-04-21,,3534.0,1,1.25,120,45,,B1,3533.59,1498523659.78,,,3567.3,46.94,0.41,87.0,2898.7,252187.0,2021-04-21,,59.47
7622,16052,1,138321,2021-01-13,2021-04-17,,1096.0,1,1.25,120,45,,D1,1096.05,151607299.17,,,2304.2,24.78,0.19,218.0,1540.7,97760.0,2021-04-17,,70.68
7876,16691,,257040,2021-02-10,2021-05-24,,1000.0,0,2.0,120,45,,A8,1040.11,267350696.93,,,4356.4,42.71,0.34,711.0,2666.58,187117.0,2021-05-24,,72.8
7897,19381,1,100000,2021-01-27,2021-03-22,,725.0,0,1.2,120,45,,Petak 1,725.02,72501880.0,,,636.05,12.23,0.19,,,,,,
7991,18386,1,320855,2021-02-06,2021-04-28,,2000.0,0,1.25,90,45,,A1,2000.02,641715518.71,,,9394.0,32.06,0.22,187.0,9099.33,433935.0,2021-04-28,677713717.0,135.24
7992,18387,1,400642,2021-02-06,2021-05-01,,2500.0,0,1.25,90,45,,A2,2500.14,1001661891.16,,,11922.0,41.25,0.27,174.0,12938.01,558118.0,2021-05-01,1022513455.02,139.31
7993,18388,1,402985,2021-02-06,2021-05-01,,2500.0,0,1.25,90,45,,A3,2500.14,1007519723.87,,,11714.0,40.53,0.26,104.0,11703.18,487982.0,2021-05-01,934178961.65,121.09
7995,18395,1,13664,2021-02-08,2021-04-26,,80.0,0,1.25,90,45,,AX1,80.06,1093905.68,,,381.2,1.36,0.01,59.0,242.82,14326.0,2021-04-26,16336491.24,104.84
7996,18396,,11956,2021-02-08,2021-04-26,,1000.0,0,1.25,90,45,,AX2,,,,,379.3,1.35,0.01,51.0,235.23,11997.0,2021-04-26,16126134.46,100.34
7997,18397,,56364,2021-02-08,2021-04-01,,1000.0,0,1.25,90,45,,AX3,281.45,15863427.98,,,707.9,3.58,0.04,182.0,567.05,51602.0,2021-04-01,28421537.5,91.55
7998,18398,,23912,2021-02-08,2021-04-26,,1000.0,0,1.25,90,45,,AX4,,,,,725.7,2.56,0.02,47.0,475.49,22348.0,2021-04-26,34764128.0,93.46
7999,18399,,23912,2021-02-08,2021-04-26,,1000.0,0,1.25,90,45,,AX5,,,,,1221.6,4.3,0.02,47.0,610.85,28710.0,2021-04-26,44488259.0,120.07
8000,18390,1,401809,2021-02-06,2021-04-30,,2500.0,0,1.25,90,45,,B1,2500.14,1004579556.88,,,9148.0,31.22,0.2,198.0,9319.19,496236.0,2021-04-30,701634153.6,123.5
8004,18348,1,767750,2021-02-05,2021-04-27,,4260.0,0,1.25,90,45,,D1,4259.91,3270547745.1,,,21816.0,72.72,0.43,181.0,18034.05,933447.0,2021-04-27,1252766394.2,121.58
8005,18349,1,662300,2021-02-05,2021-04-16,,3680.0,0,1.25,90,45,,D2,3680.43,2437546802.1,,,15196.0,55.87,0.24,296.0,11332.81,645356.0,2021-04-16,757897430.56,97.44
8006,18350,1,277500,2021-02-05,2021-04-26,,1540.0,0,1.25,120,45,,D3,1540.09,427374114.75,,,8452.0,28.17,0.16,172.0,6690.91,327378.0,2021-04-26,407679779.6,117.97
8007,18351,1,655830,2021-02-04,2021-04-28,,3640.0,0,1.25,90,45,,D4,3640.26,2387390076.22,,,16220.0,54.07,0.37,157.0,14907.5,623426.0,2021-04-28,1212122340.69,95.06
8008,18352,1,614250,2021-02-04,2021-04-27,,3410.0,0,1.25,90,45,,D5,3409.94,2094552635.18,,,14169.0,49.89,0.34,205.0,10865.36,637364.0,2021-04-27,715406666.26,103.76
8010,18354,1,483840,2021-02-04,2021-04-29,,2680.0,0,1.25,90,45,,E1,2679.94,1296660911.62,,,12841.0,43.24,0.26,170.0,11910.44,525118.0,2021-04-29,936261163.85,108.53
8011,18355,1,469900,2021-02-05,2021-04-28,,2600.0,0,1.25,90,45,,E2,2600.14,1221806161.92,,,13476.0,45.99,0.28,103.0,11756.56,488778.0,2021-04-28,900994991.5,104.02
8012,18356,1,210900,2021-02-05,2021-04-26,,1170.0,0,1.25,90,45,,E3,1169.99,246750891.0,,,6254.0,21.34,0.11,111.0,5180.57,249059.0,2021-04-26,379414590.8,118.09
8013,18357,1,320050,2021-02-05,2021-04-29,,1780.0,0,1.25,90,45,,E4,1780.23,569762227.44,,,9943.0,33.94,0.22,173.0,5748.88,283913.0,2021-04-29,415567765.36,88.71
8014,18394,1,90720,2021-02-04,2021-04-26,,1000.0,0,1.25,90,36,,TP,527.48,47853239.62,,,3215.5,10.79,0.06,106.0,2595.8,117918.0,2021-04-26,200302755.37,129.98
8092,19378,1,120000,2021-02-02,2021-04-13,,1000.0,0,1.2,120,45,,Petak 1,1000.01,120001068.0,,,606.0,9.47,-0.03,375.0,265.0,52625.0,2021-04-13,265.0,43.85
8139,19371,,200000,2021-02-06,2021-03-21,,3500.0,0,1.25,120,45,,Petak 1,3210.16,642031880.0,,,425.0,10.12,0.05,,,,,,
8259,20257,,597864,2021-02-25,2021-06-13,,2500.0,1,1.25,120,45,,Kolam C3,2500.14,1494744896.69,,,8129.7,15.69,0.03,546.0,4312.66,469940.0,2021-06-13,223897948.11,78.6
8265,20322,,681750,2021-02-24,2021-06-13,,2500.0,1,1.25,120,45,,Kolam C9,2500.14,1704471808.5,,,8038.7,15.55,0.0,783.0,3321.71,374388.0,2021-06-13,166101414.33,54.92
8266,20323,,496200,2021-02-21,2021-06-14,,2500.0,1,1.25,120,45,,Kolam B10,2500.14,1240570460.4,,,7308.8,13.76,0.0,542.0,1868.61,131007.0,2021-06-14,116496148.7,26.4
8292,16476,1,100000,2021-02-14,2021-03-29,,810.0,0,1.2,120,45,,Terpal B1,810.0,81000000.0,,,653.2,15.19,1.14,137.0,750.0,102750.0,2021-03-29,33750000.0,102.75
8293,16472,1,100000,2021-02-14,2021-03-29,,810.0,0,1.2,120,45,,Terpal B2,810.0,80999900.0,,,329.8,7.85,0.1,,,,,,
8475,20894,1,60000,2021-02-24,2021-04-14,,1500.0,0,1.2,120,45,,Petak 1 Utara,1499.91,89994528.0,,,352.6,7.84,0.06,645.0,695.0,106420.0,2021-04-14,,177.37
8476,20895,1,60000,2021-02-24,2021-04-14,,1500.0,0,1.25,120,45,,Petak Selatan,1499.91,89994528.0,,,404.1,8.98,0.36,340.0,464.5,71495.0,2021-04-14,,119.16
8578,19372,,250000,2021-03-01,2021-04-27,,2000.0,0,1.25,120,45,,Petak 2,2000.02,500004300.0,,,959.0,17.76,0.03,1095.0,736.0,173760.0,2021-04-27,356.0,69.5
8669,21219,,50000,2021-03-09,2021-03-29,,2715.0,0,1.25,120,45,,A,2714.87,135743520.0,,,26.5,4.42,0.34,300.0,83.0,24900.0,2021-03-29,83.0,49.8
8670,21224,,50000,2021-03-09,2021-03-29,,1906.0,0,1.25,120,45,,A,500.0,25000000.0,,,59.0,2.95,0.18,180.0,112.0,20160.0,2021-03-29,112.0,40.32
8674,21227,,20000,2021-03-06,2021-04-23,,1904.0,0,1.25,80,80,,A,1500.0,30000000.0,,,100.0,5.88,0.44,100.0,51.0,5100.0,2021-04-23,2703000.0,25.5
8677,21235,,50000,2021-03-11,2021-04-30,,2534.0,0,1.25,120,45,,A,2533.45,126672540.0,,,67.0,2.48,0.1,180.0,163.0,29340.0,2021-04-30,7009000.0,58.68
8683,21240,,40000,2021-03-09,2021-04-13,,2055.0,0,1.25,120,45,,C,2055.26,82210440.0,,,200.0,200.0,,200.0,150.0,30000.0,2021-04-13,150.0,75.0
8684,21239,,50000,2021-02-28,2021-04-12,,2468.0,0,1.25,120,45,,B,2467.63,123381360.0,,,50.0,12.5,11.33,200.0,60.0,12000.0,2021-04-12,60.0,24.0
8685,21238,,40000,2021-02-11,2021-03-25,,1000.0,0,1.25,120,45,,A,2702.1,108084016.0,,,44.0,11.0,0.33,200.0,150.0,30000.0,2021-03-25,150.0,75.0
8687,21242,,18000,2021-03-05,2021-04-18,,1728.0,0,1.25,80,80,,B,600.0,10800000.0,,,45.75,1.69,0.16,200.0,70.0,14000.0,2021-04-18,2870000.0,77.78
