cycle_id,size,weight,total_harvested,selling_price,harvested_at
3458,255.0,7382.93,444548.02,,2020-06-27
3459,256.0,7454.04,440387.88,,2020-07-06
4036,700.0,441.0,154350.0,,2020-05-20
4044,496.0,3544.08,187493.3,,2020-08-12
4045,638.0,3781.38,200709.32,,2020-08-12
4046,255.0,3132.12,159487.62,,2020-08-08
4047,437.0,3868.88,217574.23,,2020-08-01
4048,667.0,4364.21,234405.1,,2020-08-12
4181,436.0,495.0,83582.0,,2020-06-23
4233,410.0,1200.0,255000.0,,2020-06-27
4238,33.0,509.73,16821.09,,2020-08-08
4239,41.0,1433.03,58754.23,,2020-08-08
4241,37.0,1147.79,42468.23,,2020-08-08
4253,330.0,400.0,132000.0,,2020-06-02
4254,500.0,603.0,301500.0,,2020-06-01
4309,152.0,2270.0,128450.0,,2020-07-28
4349,200.0,560.0,112000.0,,2020-07-03
4442,57.0,1445.0,82365.0,,2020-07-12
4446,68.0,1118.5,76058.0,,2020-07-16
4489,300.0,200.0,60000.0,,2020-06-26
4491,400.0,130.0,52000.0,,2020-06-24
4514,364.0,600.0,107000.0,,2020-07-20
4515,400.0,765.0,153000.0,,2020-07-18
4551,214.0,305.0,65270.0,,2020-07-12
4552,400.0,32.0,12800.0,,2020-07-05
4620,55.0,1200.0,66000.0,,2020-08-16
4621,74.0,800.0,59200.0,,2020-08-13
4750,143.0,660.2,45142.85,,2020-09-20
4751,138.0,664.8,47743.2,,2020-09-20
4803,1000.0,86.0,86000.0,,2020-07-27
4887,90.0,850.0,76500.0,,2020-09-03
4896,212.0,266.0,56392.0,,2020-08-07
4938,160.0,334.0,53440.0,16700000.0,2020-08-28
4946,93.0,1261.0,117273.0,,2020-09-17
4957,350.0,32.0,11200.0,,2020-08-16
5159,250.0,456.0,114000.0,,2020-08-26
5222,261.0,3724.57,166915.06,289022185.93,2020-12-14
5223,394.0,5951.82,266956.65,459933540.22,2020-12-14
5435,246.0,1241.74,143317.9,70195878.0,2020-10-07
5437,223.0,1538.76,165105.09,89476021.0,2020-10-06
5438,251.0,2640.76,296101.93,148054122.0,2020-10-06
5439,208.0,1669.42,155198.42,103391534.0,2020-10-06
5441,236.0,2177.63,247501.38,124388912.0,2020-10-05
5442,229.0,3047.41,305399.16,181249740.0,2020-10-06
5677,114.0,1513.0,78033.0,,2020-11-17
5731,194.0,915.0,79625.0,,2020-11-17
5902,265.0,1341.06,59785.04,99975802.0,2021-02-03
5903,248.0,1457.7,58033.8,112853062.0,2021-02-03
5918,277.0,1907.34,74744.34,155310717.0,2021-02-23
5919,140.0,1075.96,33175.04,94063477.0,2021-02-23
5920,194.0,900.0,43484.1,67383414.0,2021-01-23
5921,194.0,1077.7,50380.4,82229457.0,2021-01-23
6319,302.0,1308.61,68522.38,,2021-01-21
6431,365.0,350.0,64500.0,,2020-11-08
6628,456.0,1138.0,185010.0,,2020-12-31
6952,120.0,600.0,72000.0,,2021-01-31
7127,250.0,700.0,175000.0,,2021-02-07
7130,393.0,1769.0,216600.0,,2021-02-01
7273,140.0,611.89,44858.83,37278708.0,2021-03-27
7276,128.0,640.9,41410.3,41085990.0,2021-03-27
7277,121.0,558.5,32432.5,36759200.0,2021-03-17
7289,131.0,432.0,28989.0,26816400.0,2021-03-17
7293,120.0,799.5,45295.0,51970500.0,2021-03-17
7303,132.0,662.0,38622.0,42697400.0,2021-03-17
7605,780.0,2463.24,247090.84,131897467.66,2021-06-19
7606,126.0,2134.51,134474.13,139478535.4,2021-06-10
7617,87.0,2898.7,252186.9,,2021-04-21
7622,218.0,1540.7,97760.4,,2021-04-17
7876,711.0,2666.58,187116.88,,2021-05-24
7991,187.0,9099.33,433934.68,677713717.0,2021-04-28
7992,174.0,12938.01,558118.41,1022513455.02,2021-05-01
7993,104.0,11703.18,487982.24,934178961.65,2021-05-01
7995,59.0,242.82,14326.38,16336491.24,2021-04-26
7996,51.0,235.23,11996.73,16126134.46,2021-04-26
7997,182.0,567.05,51601.55,28421537.5,2021-04-01
7998,47.0,475.49,22348.03,34764128.0,2021-04-26
7999,47.0,610.85,28709.95,44488259.0,2021-04-26
8000,198.0,9319.19,496235.98,701634153.6,2021-04-30
8004,181.0,18034.05,933447.17,1252766394.2,2021-04-27
8005,296.0,11332.81,645356.39,757897430.56,2021-04-16
8006,172.0,6690.91,327378.1,407679779.6,2021-04-26
8007,157.0,14907.5,623425.5,1212122340.69,2021-04-28
8008,205.0,10865.36,637363.6,715406666.26,2021-04-27
8010,170.0,11910.44,525117.6,936261163.85,2021-04-29
